Date,Open,High,Low,Close
2020-06-09,9709.0,9855.0,9630.0,9758.0
2020-06-10,9757.0,9975.0,9717.0,9870.0
2020-06-11,9870.0,9959.0,9198.0,9338.0
2020-06-12,9343.0,9558.0,9245.0,9457.0
2020-06-13,9457.0,9492.0,9366.0,9407.0
2020-06-14,9408.0,9478.0,9336.0,9384.0
2020-06-15,9384.0,9484.0,8927.0,9484.0
2020-06-16,9483.0,9594.0,9383.0,9499.0
2020-06-17,9499.0,9553.0,9255.0,9379.0
2020-06-18,9373.0,9476.0,9318.0,9349.0
2020-06-19,9349.0,9417.0,9237.0,9316.0
2020-06-20,9317.0,9347.0,9211.0,9319.0
2020-06-21,9319.0,9405.0,9301.0,9313.0
2020-06-22,9313.0,9655.0,9278.0,9640.0
2020-06-23,9640.0,9752.0,9579.0,9644.0
2020-06-24,9635.0,9669.0,9216.0,9296.0
2020-06-25,9296.0,9320.0,9018.0,9278.0
2020-06-26,9277.0,9333.0,9053.0,9201.0
2020-06-27,9201.0,9212.0,8859.0,8957.0
2020-06-28,8957.0,9189.0,8945.0,9111.0
2020-06-29,9111.0,9192.0,9034.0,9178.0
2020-06-30,9179.0,9231.0,9069.0,9150.0
2020-07-01,9150.0,9300.0,9102.0,9243.0
2020-07-02,9243.0,9266.0,8963.0,9087.0
2020-07-03,9087.0,9147.0,9066.0,9097.0
2020-07-04,9097.0,9188.0,9054.0,9132.0
2020-07-05,9131.0,9149.0,9012.0,9022.0
2020-07-06,9022.0,9353.0,8938.0,9280.0
2020-07-07,9279.0,9372.0,9220.0,9258.0
2020-07-08,9258.0,9462.0,9239.0,9435.0
2020-07-09,9435.0,9473.0,9197.0,9244.0
2020-07-10,9244.0,9260.0,9133.0,9237.0
2020-07-11,9237.0,9313.0,9190.0,9224.0
2020-07-12,9224.0,9345.0,9176.0,9240.0
2020-07-13,9239.0,9332.0,9210.0,9256.0
2020-07-14,9256.0,9278.0,9135.0,9272.0
2020-07-15,9272.0,9277.0,9170.0,9216.0
2020-07-16,9216.0,9231.0,9051.0,9103.0
2020-07-17,9104.0,9185.0,8608.0,9159.0
2020-07-18,9159.0,9208.0,9131.0,9185.0
2020-07-19,9185.0,9192.0,9119.0,9176.0
2020-07-20,9176.0,9225.0,9149.0,9178.0
2020-07-21,9178.0,9440.0,9155.0,9382.0
2020-07-22,9382.0,9402.0,9305.0,9380.0
2020-07-23,9380.0,9674.0,9376.0,9594.0
2020-07-24,9594.0,9634.0,9482.0,9629.0
2020-07-25,9629.0,9742.0,9538.0,9734.0
2020-07-26,9729.0,10128.0,9670.0,9893.0
2020-07-27,9893.0,10906.0,9882.0,10862.0
2020-07-28,10889.0,11387.0,10595.0,10982.0
2020-07-29,10982.0,11290.0,10855.0,11230.0
2020-07-30,11219.0,11335.0,10871.0,11155.0
2020-07-31,11152.0,11462.0,10981.0,11359.0
2020-08-01,11359.0,11874.0,11245.0,11835.0
2020-08-02,11835.0,12097.0,10711.0,11102.0
2020-08-03,11097.0,11479.0,10986.0,11387.0
2020-08-04,11387.0,11421.0,11068.0,11213.0
2020-08-05,11216.0,11724.0,11117.0,11692.0
2020-08-06,11692.0,11917.0,11590.0,11854.0
2020-08-07,11854.0,11920.0,11370.0,11581.0
2020-08-08,11581.0,11812.0,11549.0,11715.0
2020-08-09,11715.0,11803.0,11542.0,11681.0
2020-08-10,11681.0,12070.0,11557.0,11866.0
2020-08-11,11871.0,11940.0,11159.0,11239.0
2020-08-12,11239.0,11624.0,11151.0,11573.0
2020-08-13,11575.0,11655.0,11291.0,11640.0
2020-08-14,11621.0,11864.0,11621.0,11777.0
2020-08-15,11777.0,11987.0,11731.0,11876.0
2020-08-16,11876.0,11981.0,11716.0,11857.0
2020-08-17,11857.0,12466.0,11779.0,12329.0
2020-08-18,12331.0,12413.0,11875.0,12035.0
2020-08-19,12035.0,12103.0,11630.0,11728.0
2020-08-20,11733.0,11896.0,11697.0,11871.0
2020-08-21,11871.0,11899.0,11624.0,11634.0
2020-08-22,11625.0,11658.0,11395.0,11616.0
2020-08-23,11616.0,11724.0,11537.0,11680.0
2020-08-24,11674.0,11832.0,11609.0,11743.0
2020-08-25,11743.0,11792.0,11150.0,11272.0
2020-08-26,11275.0,11542.0,11270.0,11499.0
2020-08-27,11499.0,11573.0,11152.0,11272.0
2020-08-28,11271.0,11553.0,11258.0,11500.0
2020-08-29,11500.0,11591.0,11448.0,11528.0
2020-08-30,11528.0,11694.0,11477.0,11643.0
2020-08-31,11643.0,11785.0,11580.0,11683.0
2020-09-01,11685.0,12062.0,11561.0,12023.0
2020-09-02,12023.0,12051.0,11223.0,11372.0
2020-09-03,11372.0,11461.0,10558.0,10794.0
2020-09-04,10793.0,10812.0,10042.0,10610.0
2020-09-05,10610.0,10639.0,9905.0,10112.0
2020-09-06,10112.0,10308.0,9970.0,10242.0
2020-09-07,10243.0,10354.0,9893.0,10142.0
2020-09-08,10142.0,10437.0,9953.0,10030.0
2020-09-09,10027.0,10351.0,9891.0,10265.0
2020-09-10,10265.0,10476.0,10187.0,10307.0
2020-09-11,10308.0,10384.0,10222.0,10329.0
2020-09-12,10329.0,10485.0,10289.0,10447.0
2020-09-13,10446.0,10586.0,10231.0,10324.0
2020-09-14,10324.0,10752.0,10262.0,10694.0
2020-09-15,10697.0,10944.0,10634.0,10870.0
2020-09-16,10870.0,11101.0,10681.0,11000.0
2020-09-17,11000.0,11058.0,10765.0,10938.0
2020-09-18,10938.0,11040.0,10833.0,10900.0
2020-09-19,10900.0,11164.0,10892.0,11093.0
2020-09-20,11093.0,11093.0,10782.0,10861.0
2020-09-21,10858.0,10988.0,10323.0,10479.0
2020-09-22,10479.0,10539.0,10379.0,10520.0
2020-09-23,10521.0,10579.0,10144.0,10216.0
2020-09-24,10216.0,10705.0,10204.0,10637.0
2020-09-25,10624.0,10772.0,10576.0,10713.0
2020-09-26,10713.0,10798.0,10661.0,10720.0
2020-09-27,10721.0,10802.0,10609.0,10727.0
2020-09-28,10727.0,10948.0,10712.0,10871.0
2020-09-29,10871.0,10892.0,10647.0,10761.0
2020-09-30,10761.0,10865.0,10675.0,10711.0
2020-10-01,10707.0,10920.0,10471.0,10613.0
2020-10-02,10613.0,10668.0,10401.0,10540.0
2020-10-03,10540.0,10607.0,10475.0,10580.0
2020-10-04,10580.0,10700.0,10536.0,10652.0
2020-10-05,10652.0,10754.0,10635.0,10741.0
2020-10-06,10740.0,10797.0,10544.0,10557.0
2020-10-07,10557.0,10678.0,10546.0,10660.0
2020-10-08,10662.0,10945.0,10558.0,10894.0
2020-10-09,10894.0,11099.0,10848.0,11042.0
2020-10-10,11041.0,11464.0,11029.0,11371.0
2020-10-11,11371.0,11436.0,11277.0,11350.0
2020-10-12,11342.0,11599.0,11225.0,11564.0
2020-10-13,11564.0,11719.0,11322.0,11437.0
2020-10-14,11437.0,11546.0,11306.0,11396.0
2020-10-15,11398.0,11593.0,11288.0,11544.0
2020-10-16,11558.0,11558.0,11231.0,11314.0
2020-10-17,11319.0,11406.0,11283.0,11356.0
2020-10-18,11357.0,11500.0,11345.0,11447.0
2020-10-19,11447.0,11811.0,11419.0,11732.0
2020-10-20,11732.0,12044.0,11693.0,11904.0
2020-10-21,11904.0,12905.0,11889.0,12853.0
2020-10-22,12856.0,13216.0,12706.0,13128.0
2020-10-23,13128.0,13197.0,12746.0,12941.0
2020-10-24,12941.0,13161.0,12887.0,13103.0
2020-10-25,13103.0,13339.0,12911.0,13040.0
2020-10-26,13038.0,13242.0,12810.0,13025.0
2020-10-27,13025.0,13754.0,13000.0,13632.0
2020-10-28,13619.0,13847.0,12925.0,13208.0
2020-10-29,13208.0,13641.0,12990.0,13482.0
2020-10-30,13484.0,13673.0,13146.0,13644.0
2020-10-31,13644.0,14047.0,13440.0,13841.0
2020-11-01,13847.0,13894.0,13645.0,13816.0
2020-11-02,13816.0,13837.0,13243.0,13622.0
2020-11-03,13619.0,13798.0,13308.0,13733.0
2020-11-04,13733.0,14240.0,13556.0,14002.0
2020-11-05,14005.0,15291.0,14005.0,15244.0
2020-11-06,15244.0,15937.0,15206.0,15561.0
2020-11-07,15549.0,15760.0,14428.0,14846.0
2020-11-08,14846.0,15652.0,14692.0,15347.0
2020-11-09,15333.0,15845.0,14866.0,15392.0
2020-11-10,15392.0,15470.0,15092.0,15393.0
2020-11-11,15393.0,15959.0,15293.0,15799.0
2020-11-12,15799.0,16204.0,15499.0,16150.0
2020-11-13,16155.0,16486.0,15984.0,16287.0
2020-11-14,16287.0,16362.0,15738.0,15997.0
2020-11-15,15996.0,16149.0,15824.0,15865.0
2020-11-16,15859.0,16885.0,15795.0,16717.0
2020-11-17,16717.0,17837.0,16569.0,17627.0
2020-11-18,17633.0,18467.0,17318.0,17781.0
2020-11-19,17781.0,18163.0,17377.0,17939.0
2020-11-20,17939.0,18809.0,17732.0,18586.0
2020-11-21,18586.0,18964.0,18443.0,18638.0
2020-11-22,18635.0,18733.0,17666.0,18585.0
2020-11-23,18585.0,18759.0,18012.0,18426.0
2020-11-24,18419.0,19414.0,18120.0,18938.0
2020-11-25,18938.0,19495.0,18649.0,18846.0
2020-11-26,18859.0,18924.0,16311.0,17122.0
2020-11-27,17122.0,17463.0,16508.0,17037.0
2020-11-28,17037.0,17891.0,16895.0,17764.0
2020-11-29,17765.0,18330.0,17556.0,18267.0
2020-11-30,18267.0,19835.0,18094.0,19376.0
2020-12-01,19380.0,19928.0,18229.0,19089.0
2020-12-02,19089.0,19337.0,18362.0,19161.0
2020-12-03,19160.0,19618.0,18920.0,19465.0
2020-12-04,19465.0,19550.0,18735.0,18833.0
2020-12-05,18828.0,19186.0,18512.0,19019.0
2020-12-06,19019.0,19339.0,18895.0,19246.0
2020-12-07,19249.0,19429.0,18924.0,19087.0
2020-12-08,19087.0,19302.0,18632.0,18784.0
2020-12-09,18776.0,18823.0,17653.0,18550.0
2020-12-10,18550.0,18650.0,17938.0,18352.0
2020-12-11,18351.0,18396.0,17604.0,18106.0
2020-12-12,18106.0,18837.0,18033.0,18794.0
2020-12-13,18800.0,19414.0,18734.0,19182.0
2020-12-14,19182.0,19314.0,18996.0,19201.0
2020-12-15,19199.0,19561.0,19086.0,19431.0
2020-12-16,19431.0,21275.0,19319.0,21240.0
2020-12-17,21200.0,23685.0,21200.0,22767.0
2020-12-18,22775.0,23278.0,22398.0,22911.0
2020-12-19,22898.0,24128.0,22805.0,24004.0
2020-12-20,23988.0,24244.0,23117.0,23494.0
2020-12-21,23406.0,24094.0,22080.0,23146.0
2020-12-22,23138.0,23598.0,22385.0,23434.0
2020-12-23,23434.0,24085.0,22863.0,23299.0
2020-12-24,23295.0,23546.0,22689.0,23384.0
2020-12-25,23399.0,24657.0,23379.0,24409.0
2020-12-26,24409.0,26753.0,24379.0,26648.0
2020-12-27,26666.0,28326.0,25824.0,26303.0
2020-12-28,26303.0,27404.0,26136.0,26634.0
2020-12-29,26606.0,27164.0,25926.0,26870.0
