Date,Open,High,Low,Close
2020-06-09,242.21,249.8,240.79,243.52
2020-06-10,243.52,250.12,185.52,247.75
2020-06-11,247.88,250.04,227.21,232.37
2020-06-12,232.37,239.19,228.04,237.67
2020-06-13,237.66,238.62,234.65,236.94
2020-06-14,236.94,238.37,233.09,234.12
2020-06-15,234.12,234.22,218.21,232.68
2020-06-16,233.4,236.01,228.8,233.73
2020-06-17,233.73,237.01,228.29,231.1
2020-06-18,231.1,234.45,228.28,229.06
2020-06-19,228.52,232.05,226.61,229.2
2020-06-20,229.22,230.66,225.99,227.58
2020-06-21,227.58,231.0,227.57,228.99
2020-06-22,228.99,245.43,227.18,244.65
2020-06-23,245.11,246.4,240.85,243.52
2020-06-24,243.52,249.23,231.03,234.6
2020-06-25,234.7,235.42,227.6,233.61
2020-06-26,233.61,234.78,227.5,230.27
2020-06-27,230.26,231.33,215.9,218.6
2020-06-28,218.34,227.57,217.8,224.85
2020-06-29,224.81,227.95,221.23,227.3
2020-06-30,227.73,229.82,222.87,225.47
2020-07-01,225.47,232.76,224.16,231.51
2020-07-02,231.51,232.06,223.04,226.29
2020-07-03,226.29,228.18,225.48,226.88
2020-07-04,226.87,230.62,224.5,229.21
2020-07-05,229.21,229.95,223.88,225.09
2020-07-06,224.95,240.58,223.59,238.25
2020-07-07,238.25,243.69,234.61,238.57
2020-07-08,238.57,248.9,237.41,246.24
2020-07-09,246.56,248.32,238.04,241.31
2020-07-10,241.24,242.08,235.8,239.29
2020-07-11,239.29,241.69,237.74,238.71
2020-07-12,238.87,243.79,236.79,238.76
2020-07-13,238.75,245.26,237.46,238.87
2020-07-14,238.92,241.9,236.93,241.35
2020-07-15,241.39,241.42,236.64,238.17
2020-07-16,238.17,239.11,230.06,232.61
2020-07-17,232.63,234.38,231.54,232.53
2020-07-18,232.35,236.96,232.29,236.35
2020-07-19,236.35,236.35,233.41,235.71
2020-07-20,235.71,240.0,234.48,236.4
2020-07-21,236.4,246.9,235.48,245.08
2020-07-22,245.08,246.19,242.18,245.92
2020-07-23,245.9,279.81,245.56,273.34
2020-07-24,273.34,286.94,268.85,286.37
2020-07-25,286.58,308.01,278.39,305.82
2020-07-26,306.03,319.82,300.51,310.92
2020-07-27,310.35,329.5,309.67,324.25
2020-07-28,324.43,333.46,306.74,319.74
2020-07-29,320.01,325.27,313.31,322.64
2020-07-30,322.41,341.91,314.9,339.11
2020-07-31,338.67,348.01,329.01,345.73
2020-08-01,345.63,388.59,343.5,386.82
2020-08-02,386.97,415.05,338.72,374.39
2020-08-03,373.32,398.28,368.01,390.64
2020-08-04,391.0,402.85,381.51,388.46
2020-08-05,388.46,402.0,384.87,400.58
2020-08-06,400.56,407.81,392.79,396.81
2020-08-07,396.87,399.0,365.43,378.01
2020-08-08,377.54,393.51,376.62,388.49
2020-08-09,388.43,400.35,384.37,393.23
2020-08-10,393.24,400.0,387.34,395.53
2020-08-11,395.41,398.37,367.04,373.99
2020-08-12,373.0,389.44,367.17,386.61
2020-08-13,386.46,411.28,377.85,409.8
2020-08-14,415.96,444.35,413.88,438.99
2020-08-15,439.0,443.11,430.25,432.5
2020-08-16,432.28,437.08,412.9,430.72
2020-08-17,430.1,447.03,420.71,437.85
2020-08-18,437.86,440.11,415.52,427.07
2020-08-19,427.15,429.09,394.25,404.4
2020-08-20,404.75,418.51,402.92,416.3
2020-08-21,416.37,419.39,395.01,395.03
2020-08-22,395.04,397.0,379.28,388.71
2020-08-23,388.65,396.9,384.01,392.69
2020-08-24,392.67,408.64,387.82,401.41
2020-08-25,401.06,410.39,370.26,377.4
2020-08-26,377.59,393.5,377.59,389.32
2020-08-27,389.6,396.85,372.01,379.69
2020-08-28,379.43,397.87,379.0,394.21
2020-08-29,394.2,405.67,391.05,405.21
2020-08-30,405.29,427.92,398.4,423.0
2020-08-31,422.97,438.99,418.23,432.33
2020-09-01,432.27,486.0,430.04,482.44
2020-09-02,482.0,488.26,422.23,436.64
2020-09-03,436.39,450.0,391.0,405.9
2020-09-04,406.2,407.66,360.9,391.78
2020-09-05,391.78,394.5,311.04,333.29
2020-09-06,331.14,357.38,316.83,351.89
2020-09-07,351.73,359.9,323.62,344.7
2020-09-08,345.37,356.36,331.1,335.66
2020-09-09,335.63,358.97,325.93,353.69
2020-09-10,353.23,377.69,350.81,365.39
2020-09-11,365.72,372.57,356.0,368.43
2020-09-12,368.79,386.66,365.75,383.27
2020-09-13,383.63,389.77,354.0,363.0
2020-09-14,363.0,384.15,356.43,376.32
2020-09-15,376.32,382.0,362.57,365.56
2020-09-16,365.6,373.43,355.21,365.71
2020-09-17,365.72,394.2,363.49,392.15
2020-09-18,393.06,393.99,375.89,380.61
2020-09-19,380.21,387.84,377.31,386.03
2020-09-20,386.03,386.03,365.22,369.6
2020-09-21,369.55,376.31,332.46,346.59
2020-09-22,346.7,349.5,335.6,344.85
2020-09-23,344.72,346.9,314.76,321.9
2020-09-24,321.9,348.83,317.1,345.66
2020-09-25,345.67,358.0,337.84,354.9
2020-09-26,354.93,357.55,346.8,353.68
2020-09-27,353.68,362.2,347.51,353.33
2020-09-28,353.21,367.9,352.36,362.73
2020-09-29,362.73,363.77,350.4,357.72
2020-09-30,357.66,360.32,351.5,356.64
2020-10-01,356.9,369.18,345.85,351.61
2020-10-02,351.61,354.1,335.4,346.32
2020-10-03,346.54,351.09,341.9,349.07
2020-10-04,349.07,354.45,344.0,351.55
2020-10-05,351.55,355.46,349.18,351.99
2020-10-06,351.99,355.0,337.0,337.25
2020-10-07,337.28,342.69,333.02,340.51
2020-10-08,340.51,353.06,334.81,351.65
2020-10-09,351.65,366.0,347.9,364.05
2020-10-10,364.05,378.24,363.28,374.58
2020-10-11,374.42,377.4,369.3,373.72
2020-10-12,373.27,389.42,365.75,387.64
2020-10-13,387.6,395.27,374.7,380.19
2020-10-14,380.24,387.34,373.5,376.73
2020-10-15,376.75,381.43,370.47,380.56
2020-10-16,380.56,380.56,362.72,366.6
2020-10-17,366.74,370.37,363.5,367.12
2020-10-18,367.12,377.18,367.12,375.92
2020-10-19,375.92,384.07,373.14,379.65
2020-10-20,379.65,380.72,367.06,368.66
2020-10-21,368.4,398.45,367.86,395.25
2020-10-22,395.17,419.57,390.9,417.8
2020-10-23,417.85,421.08,402.22,409.4
2020-10-24,409.0,416.49,407.55,412.01
2020-10-25,412.0,417.67,404.4,408.1
2020-10-26,407.8,411.28,383.44,392.9
2020-10-27,393.0,410.33,390.52,403.95
2020-10-28,403.41,409.03,381.1,385.94
2020-10-29,385.92,394.01,380.95,389.05
2020-10-30,389.06,392.0,374.06,384.31
2020-10-31,384.38,393.14,380.86,387.94
2020-11-01,387.94,397.24,385.07,396.63
2020-11-02,397.44,404.26,378.16,385.91
2020-11-03,385.66,385.89,371.02,383.35
2020-11-04,383.39,408.55,377.35,401.11
2020-11-05,401.79,418.0,396.95,413.65
2020-11-06,413.69,449.37,413.29,447.2
2020-11-07,445.54,468.14,425.0,435.58
2020-11-08,435.83,460.23,431.0,450.45
2020-11-09,450.2,459.49,434.8,447.9
2020-11-10,447.73,455.0,439.39,451.73
2020-11-11,452.69,476.54,450.02,467.16
2020-11-12,466.51,470.0,452.96,462.55
2020-11-13,463.2,474.85,458.39,472.28
2020-11-14,472.29,478.38,452.75,460.06
2020-11-15,460.06,463.95,442.01,444.0
2020-11-16,444.01,465.99,440.5,459.25
2020-11-17,459.66,484.9,458.46,480.99
2020-11-18,480.89,494.99,460.01,474.31
2020-11-19,474.59,481.99,465.52,472.98
2020-11-20,473.0,514.53,469.62,508.87
2020-11-21,509.05,545.45,503.66,544.31
2020-11-22,544.32,576.15,512.1,573.94
2020-11-23,572.66,608.47,551.12,606.93
2020-11-24,606.14,622.72,593.0,601.02
2020-11-25,600.08,606.39,574.77,578.49
2020-11-26,577.39,579.7,481.32,512.59
2020-11-27,515.1,530.8,494.37,515.87
2020-11-28,515.99,548.5,507.1,543.92
2020-11-29,544.02,569.83,531.6,566.54
2020-11-30,568.4,614.07,563.98,605.2
2020-12-01,605.59,636.31,568.32,604.51
2020-12-03,600.0,624.0,587.57,615.43
2020-12-04,615.43,620.0,578.74,581.81
2020-12-05,580.8,597.55,561.52,592.41
2020-12-06,592.21,607.36,584.0,599.42
2020-12-07,599.41,603.77,584.76,588.61
2020-12-08,588.47,594.99,560.39,566.01
2020-12-09,565.86,577.96,530.45,576.17
2020-12-10,575.91,577.51,548.29,563.66
2020-12-11,563.72,564.41,536.01,549.44
2020-12-12,549.44,571.84,543.5,570.91
2020-12-13,570.95,595.0,564.23,591.64
2020-12-14,591.71,592.78,576.06,586.06
2020-12-15,586.2,596.49,579.31,588.63
2020-12-16,589.03,632.64,581.5,629.38
2020-12-17,630.0,676.29,628.56,641.26
2020-12-18,641.05,663.74,630.01,651.36
2020-12-19,651.21,669.0,646.97,666.95
2020-12-20,666.53,666.88,631.38,634.8
2020-12-21,632.71,648.0,599.11,618.46
2020-12-22,618.41,634.13,587.85,622.83
2020-12-23,622.4,637.95,592.7,597.37
2020-12-24,597.37,609.95,550.0,605.1
2020-12-25,604.61,633.24,604.59,618.92
2020-12-26,618.87,651.83,616.05,647.0
2020-12-27,646.98,714.52,625.0,676.41
2020-12-28,676.53,746.5,676.53,726.77
2020-12-29,727.25,738.97,688.86,723.94
2020-12-30,724.42,757.15,719.43,749.13
2020-12-31,749.0,755.24,725.29,739.08
2021-01-01,739.27,749.88,717.01,729.99
2021-01-02,729.66,787.99,717.51,769.0
2021-01-03,769.0,975.89,764.76,950.5
2021-01-04,947.94,1165.58,891.24,1008.06
2021-01-05,1007.22,1134.0,976.68,1086.64
2021-01-06,1089.49,1210.04,1061.04,1183.71
2021-01-07,1180.68,1288.82,1162.0,1251.5
2021-01-08,1254.22,1273.17,1072.44,1190.64
2021-01-09,1188.41,1296.27,1167.73,1292.24
2021-01-10,1293.0,1349.99,1160.05,1269.99
2021-01-11,1269.58,1288.44,913.93,1035.1
2021-01-12,1035.76,1148.97,1005.99,1078.26
2021-01-13,1075.4,1127.0,986.67,1126.3
2021-01-14,1128.62,1246.02,1088.71,1189.0
2021-01-15,1186.42,1253.18,1074.53,1160.75
2021-01-16,1160.61,1290.89,1153.07,1228.99
2021-01-17,1234.3,1265.55,1167.71,1260.64
2021-01-18,1262.97,1267.46,1185.61,1234.03
2021-01-19,1234.91,1436.47,1233.94,1410.55
2021-01-20,1409.34,1424.99,1240.33,1323.76
2021-01-21,1323.01,1389.16,1165.86,1174.95
